V1	sign	V2
YOL051W	1	YBL093C
YOL051W	1	YPR198W
YOL051W	1	YER111C
YOL051W	1	YGR005C
YOL051W	1	YOR224C
YOL051W	1	YPR070W
YOL051W	1	YML007W
YOL051W	1	YLR005W
YOL051W	1	YKR092C
YOL051W	1	YPL101W
YOL051W	1	YNR051C
YOL051W	1	YBR175W
YOL051W	1	YPL248C
YPR083W	1	YER018C
YPR083W	1	YML058W
YPR083W	1	YMR117C
YPR083W	1	YDR201W
YPR083W	1	YHR135C
YPR083W	1	YMR294W
YPR083W	1	YFR014C
YPR083W	1	YGL179C
YPR083W	1	YPL240C
YOR110W	1	YPL117C
YOR110W	1	YBR089C______a
YOR110W	1	YGR047C
YOR110W	1	YMR106C
YOR110W	1	YPL007C
YOR110W	1	YOR020C
YOR110W	1	YDR350C
YOR110W	1	YDR362C
YOR110W	1	YNL289W
YOR110W	1	YMR154C
YOR110W	1	YCR093W
YOR110W	1	YBR123C
YOR110W	1	YAL001C
YGR032W	1	YDL240W
YGR032W	1	YJR066W
YGR032W	1	YIL043C
YGR032W	1	YLR342W
YGR032W	1	YPL075W
YGR032W	1	YKL203C
YGR032W	1	YMR305C
YGR032W	1	YGR279C
YGR032W	1	YPR054W
YML015C	1	YML015C
YML015C	1	YER148W
YML015C	1	YDR448W
YML015C	1	YBR198C
YML015C	1	YMR227C
YML015C	1	YPL129W
YML015C	1	YMR236W
YML015C	1	YBR081C
YML015C	1	YPL011C
YML015C	1	YGL112C
YML015C	1	YKL058W
YML015C	1	YMR005W
YML015C	1	YML098W
YML015C	1	YCR042C
YML015C	1	YOR194C
YML015C	1	YJR091C
YML015C	1	YDR145W
YML015C	1	YMR077C
YML015C	1	YDR167W
YML015C	1	YGL066W
YML015C	1	YDR174W
YML015C	1	YML114C
YML015C	1	YGR274C
YML015C	1	YPL248C
YHL031C	1	YHL031C
YHL031C	1	YDL101C
YHL031C	1	YLR026C
YHL031C	1	YLR039C
YHL031C	1	YIL109C
YHL031C	1	YER157W
YHL031C	1	YDR320C
YHL031C	1	YOR002W
YHL031C	1	YDR331W
YHL031C	1	YDL137W
YHL031C	1	YBL102W
YHL031C	1	YGL225W
YHL031C	1	YLR418C
YHL031C	1	YML071C
YHL031C	1	YMR123W
YHL031C	1	YKL179C
YHL031C	1	YGR089W
YHL031C	1	YLR078C
YHL031C	1	YDR359C
YHL031C	1	YIL004C
YHL031C	1	YIL005W
YHL031C	1	YMR274C
YHL031C	1	YKL189W
YHL031C	1	YOR036W
YHL031C	1	YKL196C
YHL031C	1	YPL051W
YHL031C	1	YGL137W
YHL031C	1	YNL297C
YHL031C	1	YDR108W
YHL031C	1	YBR205W
YHL031C	1	YNL161W
YHL031C	1	YPL195W
YHL031C	1	YHR181W
YHL031C	1	YOR067C
YHL031C	1	YOR070C
YHL031C	1	YNL041C
YHL031C	1	YKL006C______a
YHL031C	1	YNL049C
YHL031C	1	YAR042W
YHL031C	1	YLR350W
YHL031C	1	YNL051W
YHL031C	1	YGL167C
YHL031C	1	YDR137W
YHL031C	1	YEL002C
YHL031C	1	YBL050W
YHL031C	1	YIL076W
YHL031C	1	YJL002C
YHL031C	1	YBR254C
YHL031C	1	YDL093W
YHL031C	1	YMR079W
YHL031C	1	YJL004C
YHL031C	1	YIL090W
YHL031C	1	YGL054C
YHL031C	1	YMR307W
YHL031C	1	YMR091C
YHL031C	1	YEL031W
YHL031C	1	YCL001W
YHL031C	1	YOL018C
YHL031C	1	YJL024C
YHL031C	1	YEL042W
YHL031C	1	YLR262C
YHL031C	1	YLR268W
YHL031C	1	YDR189W
YHL031C	1	YDL212W
YHL031C	1	YGL084C
YHL031C	1	YGR284C
YHL031C	1	YER120W
YHL031C	1	YBR164C
YHL031C	1	YJL062W
YHL031C	1	YOR244W
YGR171C	1	YLR079W
YGR171C	1	YGL009C
YCR100C	1	YPL141C
YCR100C	1	YNL307C
YCR100C	1	YHL007C
YCR100C	1	YDR414C
YDL235C	1	YOR272W
YDL235C	1	YIL147C
YDL235C	1	YJR074W
YDL235C	1	YOR301W
YDL235C	1	YJL128C
YDL235C	1	YOR208W
YDL235C	1	YLR113W
YDL235C	1	YNR031C
YDL235C	1	YHR206W
YDL235C	1	YLR006C
YDL235C	1	YKL114C
YML014W	1	YBR059C
YML014W	1	YDL020C
YML014W	1	YOL115W
YML014W	1	YPL240C
YML014W	1	YNR046W
YHL030W	1	YOR117W
YHL030W	1	YOR259C
YHL030W	1	YFL007W
YHL030W	1	YOR261C
YHL030W	1	YER021W
YHL030W	1	YJL092W
YHL030W	1	YKL145W
YHL030W	1	YER171W
YHL030W	1	YKL029C
YHL030W	1	YDL007W
YHL030W	1	YLR421C
YHL030W	1	YDL147W
YHL030W	1	YNL132W
YHL030W	1	YDR214W
YHL030W	1	YHR019C
YHL030W	1	YML092C
YHL030W	1	YPR108W
YHL030W	1	YHR027C
YHL030W	1	YPR103W
YHL030W	1	YPR110C
YHL030W	1	YER083C
YHL030W	1	YDR388W
YHL030W	1	YDL052C
YHL030W	1	YFR004W
YHL030W	1	YJR077C
YHL030W	1	YFR010W
YHL030W	1	YDR394W
YHL030W	1	YGR232W
YHL030W	1	YIL075C
YHL030W	1	YGL048C
YHL030W	1	YBL056W
YHL030W	1	YJL001W
YHL030W	1	YFR052W
YHL030W	1	YDL097C
YHL030W	1	YOL133W
YHL030W	1	YBR143C
YHL030W	1	YEL037C
YHL030W	1	YMR314W
YHL030W	1	YHR200W
YHL030W	1	YBR017C
YHL030W	1	YDR062W
YHL030W	1	YOL038W
YHL030W	1	YDR427W
YDR076W	1	YDL101C
YDR076W	1	YDR439W
