source	sign	target
YBL002W	1	YDL064W
YBL002W	1	YDL070W
YBL002W	1	YDL070W
YBL002W	1	YDR092W
YBL002W	1	YDR092W
YBL002W	1	YDR096W
YBL002W	1	YDR096W
YBL002W	1	YDR167W
YBL002W	1	YDR167W
YBL002W	1	YDR224C
YBL002W	1	YDR224C
YBL002W	1	YDR225W
YBL002W	1	YDR225W
YBL002W	1	YDR409W
YBL002W	1	YDR409W
YBL002W	1	YDR448W
YBL002W	1	YDR448W
YBL002W	1	YDR510W
YBL002W	1	YDR510W
YBL002W	1	YER051W
YBL002W	1	YER051W
YBL002W	1	YER169W
YBL002W	1	YER169W
YBL002W	1	YGL087C
YBL002W	1	YGL087C
YBL002W	1	YGR252W
YBL002W	1	YGR252W
YBL002W	1	YHR099W
YBL002W	1	YHR099W
YBL002W	1	YJL168C
YBL002W	1	YJL168C
YBL002W	1	YJR036C
YBL002W	1	YJR036C
YBL002W	1	YKR094C
YBL002W	1	YKR094C
YBL002W	1	YLL039C
YBL002W	1	YLL039C
YBL002W	1	YLR167W
YBL002W	1	YLR167W
YBL002W	1	YLR399C
YBL002W	1	YLR399C
YBL002W	1	YMR223W
YBL002W	1	YMR223W
YBL002W	1	YMR224C
YBL002W	1	YMR224C
YBL002W	1	YMR236W
YBL002W	1	YMR236W
YBL002W	1	YNL021W
YBL002W	1	YNL021W
YBL002W	1	YNL030W
YBL002W	1	YNL030W
YBL002W	1	YNL031C
YBL002W	1	YNL031C
YBL002W	1	YNL250W
YBL002W	1	YNL250W
YBL002W	1	YNL330C
YBL002W	1	YNL330C
YBL002W	1	YOL004W
YBL002W	1	YOL004W
YBL002W	1	YOL012C
YBL002W	1	YOL012C
YBL002W	1	YOL012C
YBL002W	1	YOL012C
YBL002W	1	YOL068C
YBL002W	1	YOR156C
YBL002W	1	YOR156C
YBL002W	1	YOR244W
YBL002W	1	YOR244W
YBL002W	1	YOR304W
YBL003C	1	YBL002W
YBL003C	1	YBL002W
YBL003C	1	YBL088C
YBL003C	1	YBL088C
YBL003C	1	YBL088C
YBL003C	1	YBL105C
YBL003C	1	YBL105C
YBL003C	1	YBR009C
YBL003C	1	YBR009C
YBL003C	1	YBR010W
YBL003C	1	YBR010W
YBL003C	1	YBR034C
YBL003C	1	YBR034C
YBL003C	1	YBR112C
YBL003C	1	YDL064W
YBL003C	1	YDL064W
YBL003C	1	YDL070W
YBL003C	1	YDL070W
YBL003C	1	YDR069C
YBL003C	1	YDR069C
YBL003C	1	YDR092W
YBL003C	1	YDR092W
YBL003C	1	YDR096W
YBL003C	1	YDR096W
YBL003C	1	YDR167W
YBL003C	1	YDR167W
YBL003C	1	YDR224C
YBL003C	1	YDR224C
YBL003C	1	YDR225W
YBL003C	1	YDR225W
YBL003C	1	YDR409W
YBL003C	1	YDR409W
YBL003C	1	YDR448W
YBL003C	1	YDR448W
YBL003C	1	YDR510W
YBL003C	1	YDR510W
YBL003C	1	YER051W
YBL003C	1	YER051W
YBL003C	1	YER144C
YBL003C	1	YER144C
YBL003C	1	YER169W
YBL003C	1	YER169W
YBL003C	1	YGL087C
YBL003C	1	YGL087C
YBL003C	1	YGR252W
YBL003C	1	YGR252W
YBL003C	1	YHR099W
YBL003C	1	YHR099W
YBL003C	1	YJL168C
YBL003C	1	YJL168C
YBL003C	1	YJR036C
YBL003C	1	YJR036C
YBL003C	1	YKR094C
YBL003C	1	YKR094C
YBL003C	1	YLL039C
YBL003C	1	YLL039C
YBL003C	1	YLR167W
YBL003C	1	YLR167W
YBL003C	1	YLR399C
YBL003C	1	YLR399C
YBL003C	1	YMR223W
YBL003C	1	YMR223W
YBL003C	1	YMR224C
YBL003C	1	YMR224C
YBL003C	1	YMR224C
YBL003C	1	YMR236W
YBL003C	1	YMR236W
YBL003C	1	YNL021W
YBL003C	1	YNL021W
YBL003C	1	YNL030W
YBL003C	1	YNL030W
YBL003C	1	YNL031C
YBL003C	1	YNL031C
YBL003C	1	YNL250W
YBL003C	1	YNL250W
YBL003C	1	YNL250W
YBL003C	1	YNL330C
YBL003C	1	YNL330C
YBL003C	1	YOL004W
YBL003C	1	YOL004W
YBL003C	1	YOL012C
YBL003C	1	YOL012C
YBL003C	1	YOL012C
YBL003C	1	YOL012C
YBL003C	1	YOR156C
YBL003C	1	YOR156C
YBL003C	1	YOR244W
YBL003C	1	YOR244W
YBL003C	1	YOR304W
YBL004W	1	YCL031C
YBL004W	1	YDR324C
YBL004W	1	YDR398W
YBL004W	1	YGR090W
YBL004W	1	YGR095C
YBL004W	1	YGR159C
YBL004W	1	YJL050W
YBL004W	1	YJL069C
YBL004W	1	YJL109C
YBL004W	1	YMR049C
YBL004W	1	YMR093W
YBL004W	1	YNL096C
YBL004W	1	YOR001W
YBL004W	1	YOR096W
YBL004W	1	YOR287C
YBL004W	1	YPL126W
YBL016W	1	YBR082C
YBL016W	1	YCR091W
YBL016W	1	YDL188C
YBL016W	1	YDL188C
YBL016W	1	YDR059C
YBL016W	1	YDR283C
YBL016W	1	YER123W
YBL016W	1	YFR028C
YBL016W	1	YFR028C
YBL016W	1	YFR028C
YBL016W	1	YGL073W
YBL016W	1	YGL158W
YBL016W	1	YGL158W
YBL016W	1	YGR040W
YBL016W	1	YGR040W
YBL016W	1	YGR218W
YBL016W	1	YHR135C
YBL016W	1	YIL075C
YBL016W	1	YIR002C
YBL016W	1	YIR026C
YBL016W	1	YJL128C
YBL016W	1	YJL128C
YBL016W	1	YJL128C
YBL016W	1	YJR036C
YBL016W	1	YKR001C
YBL016W	1	YKR017C
YBL016W	1	YKR094C
YBL016W	1	YLL001W
YBL016W	1	YLL039C
YBL016W	1	YLR167W
YBL016W	1	YLR229C
YBL016W	1	YLR229C
YBL016W	1	YLR248W
YBL016W	1	YLR248W
YBL016W	1	YNL154C
YBL016W	1	YNR047W
YBL016W	1	YPL268W
YBL019W	1	YAL015C
YBL019W	1	YAR007C
YBL019W	1	YAR007C
YBL019W	1	YBL021C
YBL019W	1	YBL021C
YBL019W	1	YBR087W
YBL019W	1	YBR087W
YBL019W	1	YBR088C
YBL019W	1	YBR088C
YBL019W	1	YDL164C
YBL019W	1	YDL164C
YBL019W	1	YJR068W
YBL019W	1	YJR068W
YBL019W	1	YKL113C
YBL019W	1	YKL113C
YBL019W	1	YML021C
YBL019W	1	YML060W
YBL019W	1	YNL262W
YBL019W	1	YNL262W
YBL019W	1	YNL290W
YBL019W	1	YNL290W
YBL019W	1	YNL312W
YBL019W	1	YNL312W
YBL019W	1	YOL043C
YBL019W	1	YOL094C
YBL019W	1	YOL094C
YBL019W	1	YOR217W
YBL019W	1	YOR217W
YBL019W	1	YOR358W
YBL019W	1	YOR358W
YBL019W	1	YPR175W
YBL019W	1	YPR175W
YBL021C	1	YAR007C
YBL021C	1	YAR007C
YBL021C	1	YAR007C
YBL021C	1	YBL019W
YBL021C	1	YBL019W
YBL021C	1	YBL023C
YBL021C	1	YBL035C
YBL021C	1	YBL035C
YBL021C	1	YBR060C
YBL021C	1	YBR087W
YBL021C	1	YBR087W
YBL021C	1	YBR088C
YBL021C	1	YBR088C
YBL021C	1	YBR154C
YBL021C	1	YBR160W
